city,total_margin,orders_count,lat,lon
Sydney,11700.799077492544,789,-33.855171106603294,151.05958885082381
Melbourne,9721.258790413302,667,-37.86587858757122,145.0540189802099
Perth,4461.804212755947,279,-32.024622434802865,115.97253688781362
Brisbane,4282.902682649842,320,-27.496255943468746,153.01262407
Adelaide,2572.2799541029135,180,-34.933076398388884,138.58598163666667
Gold Coast,1053.2043087070351,70,-28.00426719142857,153.38015124142856
Hervey Range,645.2564748102611,8,-19.43565923,146.5023743
Jeogla,543.9275897517666,15,-30.46460034,151.8993515
Central Coast,503.2199306867306,27,-33.34621518148148,151.4667328
Newcastle,500.8416826849067,52,-32.96643956846154,151.68936717115386
Canberra,498.0142741247718,44,-35.328163145,149.08003074318182
Brighton,459.2708407252318,18,-37.90842447,144.9956863
Toowoomba,457.1189045180799,24,-27.5738151,151.8784628
Wollongong,453.71861026326786,32,-34.429419975,150.86255654375
Somerville,407.8350002132356,1,-38.2161028,145.2226395
Kulnura,401.02153093084513,21,-33.31882435,151.2139917
