city,total_margin,orders_count,lat,lon
null,20990.27673884782,1354,-7.6166299084078295,-50.21180912370015
Salvador,16329.193107692972,995,-12.787214760180905,-38.594120140582916
São Paulo,14990.482953414585,895,-23.489482518815645,-46.735888131284916
Brasília,12464.295461156207,774,-15.823234769418605,-47.92020453784237
Manaus,8037.886831852033,544,-3.0645293451360294,-59.975209731838234
São Luís,7456.470147922239,452,-2.5373005005309737,-44.2169350269469
Curitiba,6921.409298767176,477,-25.471017467672954,-49.287172361383654
Fortaleza,6799.577355118911,432,-3.7945265197407405,-38.56144528608797
Rio de Janeiro,5954.58215696611,428,-22.934007952476634,-43.33295361852804
Duque de Caxias,3841.0635607037425,296,-22.725547465912165,-43.288726092162165
Uberlândia,3493.496112368284,216,-18.92026099902778,-48.28180247236111
Paço do Lumiar,3161.704435965895,175,-2.5115365708342856,-44.13949857885714
Belém,2938.347769521751,198,-1.9505063657171715,-48.532954876313134
Montes Claros,2724.8476072476824,160,-16.725731003125,-43.854173450125
Recife,2565.4626243313414,170,-8.093830626282353,-34.89844669905882
Campinas,2432.628760570428,140,-22.9441929105,-47.12230989578571
Goiânia,2335.706024438281,149,-16.672618178120803,-49.286287071543626
Belo Horizonte,2246.0464360388974,97,-19.91866754216495,-43.93523461824742
Porto Alegre,2120.4000184645424,164,-30.039101834695124,-51.18365314109756
Barra do Corda,1966.4003974657248,74,-5.654105032,-45.25438128
Parauapebas,1866.0117631496505,130,-6.154942346,-50.48633231
Ananindeua,1807.9212185796862,118,-1.3686640697966104,-48.385573197711864
Londrina,1612.998489137518,102,-23.27697034323529,-51.146865182058825
Várzea Grande,1573.2103329829504,61,-15.654807811311475,-56.11558090032787
Itaboraí,1489.230786822444,117,-22.73029517,-42.86203835
São Gonçalo do Amarante,1455.80761677623,107,-5.217521084093458,-36.33369981644859
São José dos Campos,1430.3765499948179,65,-23.176994913846155,-45.87235577815385
Conselheiro Lafaiete,1396.6880180252317,60,-20.66651382,-43.78927633
Macapá,1365.1547015128624,105,0.04937103650352381,-51.066778452952384
Porto Seguro,1273.9847996870271,72,-16.61973169,-39.29032258
Limeira,1271.6406504690558,107,-22.576628034672897,-47.403265905233646
Cuiabá,1263.3095281740445,65,-15.574513644153846,-56.09859949876923
Águas Lindas de Goiás,1261.7149674159919,82,-15.77083743,-48.28692028
Lavras,1249.4569205598273,62,-21.26549139,-45.0391468
Franca,1225.142120122639,57,-20.55446980859649,-47.39000460526316
Itapipoca,1205.5288636555024,84,-3.3968570879999995,-39.60038838
Praia Grande,1198.9391742275236,110,-24.036145168999997,-46.500711573
Ituverava,1197.3845138933093,28,-20.32995802,-47.80805451
Lauro de Freitas,1180.1514944827522,72,-12.85874477,-38.33090091
São Félix do Xingu,1178.3032976854552,72,-7.229393984,-52.25230923
Ribeirão Preto,1172.0788961261353,85,-21.167350089058825,-47.824448425058826
São José de Ribamar,1153.8385809469435,91,-2.566311265,-44.08889007
Macaé,1150.4375339434978,76,-22.37177041,-41.77501362
Muriaé,1142.834242277169,42,-21.09168434,-42.42221714
Bragança,1118.1771924312518,64,-1.201405582,-46.73521292
Niterói,1093.3118950891987,83,-22.907201351807227,-43.1011219326506
Ipatinga,1080.11973946931,63,-19.46064708238095,-42.54991105333334
Imbituba,1076.237047717916,27,-28.19253006,-48.70315986
Vila Velha,1074.3662765510987,54,-20.362640610555555,-40.30297454277778
Camaçari,1064.2170058335687,35,-12.71970171,-38.32116469
