city,total_margin,orders_count,lat,lon
Sevilla,13713.534142474622,114,37.39635845839744,-5.953660203884615
Valencia,13577.379137233902,114,39.4646419515625,-0.368597524731875
Málaga,13350.769737101646,82,36.72643563949153,-4.460058291576271
Brighton,10012.240723518094,61,31.322322753586956,7.207748867274345
Palma,7650.058166476877,50,39.582740805,2.6576823286511626
Las Palmas de Gran Canaria,5489.520091900305,39,28.111738940491804,-15.448041016393441
Alicante (Alacant),5347.324993790773,48,38.35830484508197,-0.4932091899885246
Córdoba,5179.6918820948995,48,37.86825463342857,-4.782564197628572
Albacete,4657.319903210576,26,39.0203051755102,-1.8855159115306122
Cartagena,4512.271259102002,25,37.61602024214286,-0.9857328401023809
San Fernando,4024.246158376602,24,36.226894109999996,-18.014502254526313
Granada,3964.8614218321945,37,37.17868264081633,-3.600286904979592
Jerez de la Frontera,3063.718534420941,24,36.67944860083333,-6.136806250083333
Elche,2939.834017207749,16,38.27116099333333,-0.68085815616
El Grao de Castellón,2769.855526183859,14,39.97762727,0.003423831759
Almería,2637.5925624276792,16,36.859080830714284,-2.455144525357143
Torrent,2441.3667881859938,15,39.418035860740744,-0.4908937044518518
San Cristóbal de La Laguna,2434.9519734929163,15,28.471630788333332,-16.309262466666667
Villajoyosa,2363.089675378166,11,38.52103342,-0.251530554
Sanlúcar de Barrameda,2328.735124585768,15,36.79574927,-6.298176524
Huércal-Overa,2233.192901544867,5,37.40643926,-1.87983162
Santa Cruz de Tenerife,2141.2744086339917,16,28.44997354608696,-16.28114148130435
Alboraya,2122.4449119061806,2,39.49632889,-0.3399196029
Benalmádena,2073.4469333478683,10,36.59358456555555,-4.5571160308888885
Huelva,2069.70760588199,23,37.266805151199996,-6.94430972272
Elda,2042.4486358323277,11,38.47490264000001,-0.8207026736
Mitcham,1993.4244797640672,13,27.92192747894737,38.09586139009474
Talavera de la Reina,1944.1767875016294,18,39.95638658,-4.80601686
Mairena del Aljarafe,1938.0968775240492,10,37.33846012,-6.067255066
Marbella,1909.688655837439,16,36.513004088,-4.918056289800001
Benidorm,1865.731112806491,12,38.56067347,-0.1447721428
Cieza,1863.4938291329556,9,38.27373194,-1.470852888
Cádiz,1792.166982101768,8,36.511440015,-6.2728835431666665
Oliva,1780.4434391891268,6,38.89670835,-0.1043537399
Laguna,1767.1920504968002,11,-29.78642555117647,9.986383498823532
Vecindario,1754.9463027706302,14,27.85544345,-15.46442177
Espinardo,1721.731046743078,6,38.02742801,-1.157136604
Algeciras,1720.7118613717284,13,36.128457640952384,-5.464237267
Yecla,1712.8435285008584,10,38.6439043,-1.169653792
Macclesfield,1705.0379540389354,13,37.220813549090906,23.492767206363634
Linares,1686.932406301944,10,38.09720603,-3.641732926
Es Pont d'Inca,1669.8242407476941,7,39.62375726,2.728554461
Ceuta,1645.2598200298476,9,35.88917558461538,-5.331346018076923
La Línea de la Concepción,1641.5506595683285,7,36.18225236,-5.350750779
Villena,1635.9037839136267,5,38.63168798,-0.8635861483
Alcalá de Guadaíra,1505.8566928930277,11,37.29034196,-5.806239006
Catarroja,1484.4549314842566,12,39.3955345,-0.3962602117
Villafranca de los Barros,1472.2172536052767,5,38.5867935,-6.339230252
Burriana,1453.0224368667139,10,39.88992388,-0.074495578
Murcia,1434.7147806022517,13,37.970968257222225,-1.1241554027222223
La Guardia de Jaén,1404.3802532025813,8,37.76553167,-3.70369408
Torredonjimeno,1375.9497221275576,4,37.79813355,-4.03685845
El Paraíso,1364.25582251125,6,36.47025423,-5.029864593
Algemesí,1352.3027010165501,4,39.21366546,-0.4292462477999999
Dos Hermanas,1342.707899934335,7,37.281998048888894,-5.953419117222222
Glenview,1262.463173537442,13,12.574855444285713,15.389645022857152
Cobatillas,1244.9710388033257,3,38.0674134,-1.103234884
Ceutí,1243.1818824730524,6,38.08302909,-1.281925448
Nueva Jarilla,1175.0778848171487,11,36.68548679,-5.952290985
Urbanización Villanueva,1156.7068191345486,2,38.39550866,-0.5885414815
Baza,1147.9252734145482,5,37.41160112,-2.775542801
Brenes,1146.3006371670383,6,37.55361107,-5.877163773
Sedaví,1104.723997526603,6,39.40722781,-0.3660136494
Almendralejo,1084.9363482997096,4,38.70835739,-6.409800166
Polígono Industrial Cachapets,1072.8694219132226,5,38.23702584,-0.8147191219
Pottsville,1061.9925054669568,9,21.85305463272727,-13.578992150909096
Derramador,1059.7366220440501,9,38.1969764,-0.7179721089
El Puerto de Santa María,1052.1711564376742,8,36.6314427,-6.233522578
Cabezo de Torres,1046.6220298525625,6,38.03873296,-1.133453795
Claremont,1040.5845061644686,9,-4.314450265000001,14.7579298
Almazora,1035.0550497045078,9,39.95136164,-0.06815009378
Játiva,1032.572909402978,13,38.99465805,-0.5284541903
Pedro Alvarez,1030.9642796390795,3,28.52013671,-16.33500918
Melilla,1017.510969557059,7,35.279913484,-2.9443394522
Arrecife,1008.3971177599192,10,28.98007171,-13.561839419999998
Binisalem,993.5756632603834,2,39.68451309,2.8568245180000003
Utrera,991.84410514553,11,37.07687358,-5.762407297
Villarreal,974.3265054528304,11,39.93313198,-0.1287584866
Guardias Viejas,970.5303515300036,7,36.7439045,-2.801169821
Coria del Río,961.5875020169619,7,37.24703506,-6.035262648
Dehesa de Campoamor,957.8187739493668,7,37.92930781,-0.762501389
Castilleja de la Cuesta,956.2600525577467,4,37.38577369,-6.055670584
Zafra,947.6687986926619,4,38.4369174,-6.45058143
Antequera,946.4398134703553,5,37.03252911,-4.575149842
Jijona,937.8189012077248,3,38.54747486,-0.4904393208
Almansa,919.6040072514003,10,38.84116422,-1.09038558
Armilla,906.4695058037136,8,37.14797868,-3.619283524
Puerto de Sagunto,893.813338568892,5,39.65811702,-0.2309416578
Mislata,892.9073848715968,4,39.47576851,-0.4206130067
Cehegín,889.1449215162926,4,38.02337479,-1.772908002
Alcira,882.1520479599424,7,39.14972890999999,-0.42202985809999993
Azucaica,874.5829817480146,7,39.89152739,-3.983739247
Oakdale,866.265383224821,7,5.863629707777778,-0.1807234555555605
Lebrija,861.5671807924953,6,36.93946975,-6.061443743
Palma del Río,859.8821462545028,11,37.70499074,-5.235301845000001
Puerto del Rosario,850.5542133876346,8,28.49715181,-13.87494951
Mercalaspalmas,835.0369551043354,4,28.02941811,-15.4172311
Totana,827.2957187136084,7,37.75422946,-1.515631904
Las Gabias,821.8374464714311,4,37.13271091,-3.696553514
Alcalá la Real,813.3595474385273,6,37.45109255,-3.913722478
Sóller,810.8400922632467,7,39.77465367,2.70713879
La Gangosa,810.7514694375868,8,36.81192698,-2.662416419
Calahonda,809.7130517173575,1,36.53751533,-4.7121487
Ibiza,799.1264994836384,6,38.93125802,1.415275692
Urbanización el Trigal,790.0907672343399,9,39.10657529,-1.8691978600000003
Los Camachos,789.7848608098797,4,37.67488223,-0.9251903645
Villanueva de Córdoba,789.0886589087158,5,38.27608776,-4.629748683
Tabernes de la Valldigna,769.331238500543,7,39.08030537,-0.2547168346
Alhaurín de la Torre,762.9724186709691,5,36.66152225,-4.583020815
La Algaba,759.5805488947971,6,37.47269419,-6.017518761999999
Santa Margarita,751.3109108865468,4,36.20609565,-5.338912673
Conil de la Frontera,751.3030248358152,8,36.27321966,-6.074841354
Ingenio,743.7140473246471,7,27.930631162,-15.43559151
El Estepar,742.9014605501311,8,38.67861013,-0.5163363064
Arcos de la Frontera,740.6625391596418,6,36.74900002,-5.738011426
Gines,740.6360579663891,3,37.38638388,-6.076881827
La Puebla de Montalbán,726.7850878757465,2,39.81633221,-4.379348009
Cañada,719.9635514538445,4,39.53059227,-0.49496302989999996
Inca,715.1198057330722,6,39.71172579000001,2.942160161
Torrevieja,713.7135976798477,4,37.993971776,-0.70237169062
Dolores,710.8542051671774,3,37.81870372,-0.8633324278
Puente Genil,702.0147898953753,6,37.40679767,-4.759746865
Rincón de la Victoria,700.5601807339784,4,36.73265197,-4.275178531
Palmones,693.8034293172999,4,36.2158637,-5.4585269
Cuart de Poblet,683.6459112730922,6,39.4722775,-0.4957911638
Bétera,673.8420236811277,3,39.6155614,-0.4677476961
Playa del Hombre,667.5089982552454,5,27.99103317,-15.38237871
Peligros,662.7729342965793,3,37.24163914,-3.630212324
Archena,654.4936900949752,4,38.11232012,-1.296813682
Don Benito,648.4390546874849,4,38.8629812,-5.899990601
Porto Cristo,641.3159994459673,4,39.53778591,3.29253368
Gandía,637.2877879945237,3,38.97734823,-0.1807595288
La Puebla de Cazalla,635.204361615493,5,37.16233036,-5.275111394
Villarrobledo,633.2005238849554,5,39.19271943,-2.612162025
Torrellano,627.0586749511469,3,38.28935288,-0.5915337501
Alcácer,622.6583066593312,5,39.38108566,-0.4471561843
Paterna,617.1298127665373,5,39.52813872,-0.4509882608
Aspe,610.6919357126369,2,38.32953044,-0.7853103087000001
Can Pastilla,608.8190415694733,6,39.5316256,2.729698531
Paiporta,608.5716292593078,6,39.425878299999994,-0.4124031112
Guardamar del Segura,607.9320172768878,5,38.08533016,-0.6677385601
Avileses,604.3824855464327,4,37.83591597,-0.9283207610999998
Fortaleza de Isabel II,601.1890236490774,2,39.93825513,4.242766522
Chiclana de la Frontera,599.343147888603,6,36.39303000666667,-6.116447645
Las Lagunas de Mijas,599.053343680711,3,36.56535341000001,-4.677522305
Ayamonte,589.159949767797,5,37.28347815,-7.389440419
Gibraleón,587.1980989762411,4,37.39600066,-6.994450541
Torre-Pacheco,586.8519843976928,4,37.76047062,-0.9599845425
Alfaz del Pi,580.0873195436861,3,38.58598585,-0.09880268660999998
Calpe,578.5096530188181,6,38.65270893,0.04437321718
Pilas,577.8634893958798,3,37.30538854,-6.312922333
San Ginés,565.4610013682395,3,37.965048,-1.17455065
La Escarihuela,562.5941941907286,3,37.5804762,-1.768343372
Lucena,561.4470655042618,7,37.35337131,-4.535131052
Caravaca de la Cruz,557.7605998086086,7,38.10074304,-1.876530176
Pollensa,556.7289136844931,4,39.88616425,3.028195914
Carlton,548.5393505820936,5,18.93683305875,53.689506514375005
Pozo Izquierdo,547.7424232523671,3,27.835624460000002,-15.45108973
Campello,547.3848302347009,4,38.46230752,-0.3727130386
Utiel,547.1147834203391,2,39.6136302,-1.20929285
La Zubia,546.4603232852363,10,37.11023452,-3.571659518
Sagunto,541.6992164449051,4,39.69231484,-0.284684181
Grau y Playa,535.8815752733651,4,38.99581374,-0.1723912141
Costa Adeje,530.8495510057702,1,28.09543742,-16.71157351
La Unión,528.7835433068852,5,37.6089409,-0.8744562674999999
Las Torres de Cotillas,528.1253480197017,5,38.027231140000005,-1.2489895248
Cox,521.2877725155312,2,38.14444876,-0.9008369251999999
Sangonera la Verde,516.2279400790608,3,37.92792459,-1.208009592
Roquetas de Mar,515.5884136144043,2,36.75425187,-2.627763897
Baena,510.4802342989428,5,37.66529648,-4.332984607
Puerto Lumbreras,503.7403192844449,4,37.59299006,-1.874108832
Almonte,501.8385943098868,7,37.10272354,-6.534320329
Onil,500.36499264615605,4,38.63335509,-0.6610028134
Medina-Sidonia,499.16192277752964,3,36.4420262,-5.922548564
Mijas,492.38333740524376,4,36.59556416,-4.640855467
Toraixa,489.2468721075124,3,39.86439246,4.285856766
Puebla de Vallbona,486.87221629450727,4,39.60220803,-0.5424339983
San Isidro de Níjar,485.73036478074766,4,36.84699377,-2.153889823
Jumilla,484.7953866129037,5,38.48536065,-1.33224006
Ibi,482.6169290658233,4,38.62487001,-0.5629881335
Santa Pola,470.75837233391667,5,38.20350506,-0.5774350867
Cabo Blanco,470.5868641222688,1,28.06722177,-16.66218605
Punta Umbría,467.1529119508396,6,37.21629481,-7.016536554999999
Alcoy,462.86090552975065,5,38.69211837,-0.47408251190000006
Padul,462.0699249848869,3,37.01408783,-3.669921939
Sant Jordi,445.58043260042433,4,39.57147864,2.7891241609999997
Onda,444.5949019371405,4,39.97692365,-0.2379845
Badajoz,438.1592638249281,4,38.93453822285714,-6.985290185285715
El Calero,436.93892999841546,6,27.96923068,-15.421998249999998
Cuevas de los Medinas,436.420166471932,6,36.90323928,-2.297915509
Martos,436.3549509850044,7,37.70810878,-3.9991543819999995
Petrer,435.2957369773409,3,38.49216138,-0.7315818191
Torremolinos,429.78984103236706,6,36.62586605,-4.515778097
Montepinar,420.8621962744921,1,38.12717175,-0.9862777708
Pueblo Nuevo,419.6334845574169,6,39.01604103285714,-0.6623953569285714
Campo Olivar,415.3631052440474,5,39.53566538,-0.426718696
Güímar,415.23000031057745,2,28.31396595,-16.43363505
Valdepeñas,413.48711907226044,4,38.77167478,-3.402806174
Tafira Alta,412.9481410247149,5,28.05582566,-15.45255052
Los Palacios y Villafranca,412.3180459675201,2,37.17055075,-5.922271657
Águilas,399.5757910778215,6,37.40996395,-1.579035062
Alcázar de San Juan,398.4049701700813,2,39.311568689999994,-3.238970991
Motril,395.9589026875444,5,36.74774514,-3.4822572079999996
Son Sardina,395.24849659998716,3,39.63881608,2.650347894
Novelda,393.97113468699797,6,38.39421711,-0.7861804362999999
Mora,390.26733159177013,5,39.68829175,-3.7367330819999998
Dehesilla de Calamón,382.56333351868585,3,38.72501612,-6.938150437
El Viso del Alcor,379.4392824759793,2,37.38617341,-5.708971084
Madridejos,375.97710241249723,4,39.46597769,-3.537837488
Pedro Muñoz,372.17118026058813,5,39.39907517,-2.941427152
Es Canar,367.02830756464095,3,38.98629088,1.509557162
Arahal,366.9348915248296,3,37.20053119,-5.573442754
Barbate,366.6199495623272,3,36.19164126,-5.8559255729999995
Ronda,365.3100234839742,3,36.78369689,-5.13687287
Raiguero Poniente,364.9749605595588,4,38.08004967,-0.9873880429
Alayor,364.23198229233407,3,39.92119757,4.135314573
Villamartin,363.1129844316081,5,36.87282438,-5.616483370000001
Daimiel,362.75852495722216,3,39.06743149,-3.611414298
Santa Ponsa,361.6617300532567,3,39.53033404,2.48328495
Ocaña,356.61600041762,2,39.94667631,-3.512461702
Bailén,356.16615002596603,2,38.09272209,-3.778903217
Molina de Segura,353.1323988695428,3,38.0554402,-1.202954171
Ciudad Real,344.55537648633594,4,38.958836114,-3.9435435839999995
