city,total_margin,orders_count,lat,lon
Shanghai,406601.1217185305,3062,32.658430571262684,115.90780213297181
Beijing,346746.4264182715,2589,31.566992679584107,114.29233767669669
Seoul,242788.97321454348,1866,37.55152076689205,126.99454305487487
Shenzhen,222890.40214182678,1627,31.218298274565495,114.1455899509114
Dongguan,159771.16593648941,1202,30.341191913656587,116.77788524677695
Tokyo,141797.19316138912,1077,35.69645521884292,139.72537425914675
Wuhan,141333.86554215237,1010,31.566870732198016,115.86471529036304
Chengdu,140761.82630069263,1008,32.70021331729801,116.95406426569537
Tianjin,120188.57084675255,871,30.812922885945948,115.5916569353736
Foshan,113103.91457825557,861,32.18440384065182,114.42761385420792
Suzhou,111657.53310095791,800,31.143801880773857,115.03834926233878
Wenzhou,107035.97712939102,779,33.043514365761354,115.84602336740873
Busan,93789.97510372866,651,35.165760202486936,129.0737608553814
Handan,91502.13240407957,651,31.8387415024866,114.66038447920685
Zhengzhou,91319.37234641722,652,33.707551010327535,115.7954443522006
Guangzhou,89980.65033540037,646,31.51692496042735,114.478474028953
Hangzhou,86778.21031659537,641,32.37334116412271,114.26165779228201
Nanjing,84929.90559735204,633,31.73692553249725,114.55399518833883
Chongqing,77202.63073185395,576,30.56839231689367,115.9517218181601
Shan Tou,74680.74377892043,517,35.66534805500673,117.3594430487214
Harbin,72709.41119777902,565,31.514764470331635,116.14516085663266
Fuzhou,72655.45635389962,577,34.57917978620859,116.7213478206135
Xi'an,68050.75877717629,569,31.387078582663314,114.05626904924623
Hefei,66589.63993852811,477,29.934826876791906,117.6496006932081
Incheon Metropolitan City,63066.40786116144,444,37.47320399717613,126.68689120582242
Xiamen,62077.92618878517,467,29.2701108505226,113.67038986567798
Baoding,58583.835843261935,440,31.7626208617757,113.36586166791277
Zhangzhou,57992.00857782666,497,32.62307774372857,114.85301361457142
Shenyang,57016.92452307938,389,32.366257152667814,110.82508894605851
Huizhou,55145.02656610906,398,30.956893558640274,116.95426105266782
Taiyuan,54205.976120292486,385,32.88349016469388,116.79949887823129
Changchun,51081.708774707826,376,32.41705345433453,120.14526699712229
Jinan,48531.36973530937,363,31.258808232220076,115.21831144169883
Qingdao,48129.8407706232,343,34.44455697928994,112.87378430919134
Lan'Zhou,46967.08415593001,336,31.41453878043659,118.65076693555095
Taizhou,46230.426501206464,336,36.544870602621565,111.26157886317124
Guiyang,46054.55797784748,372,32.82685078537255,115.6725077609804
Shijiazhuang,44842.518962887545,353,30.090962623493976,113.92251282329318
Daegu Metropolitan City,44690.22051588237,343,35.84723662155419,128.56987495623724
Dalian,41377.23152890109,343,30.48957734527495,115.88825084236252
Urumqi,41072.1035781085,279,34.655562546859294,115.09398775276382
Xingtai,39300.995703842724,339,31.425139828974356,113.72953299401708
Yongin City,38051.05309599497,285,37.279369902827106,127.12815753808411
Ningbo,37841.299746532226,281,28.818298924010154,111.33919151548224
Quanzhou,37745.30482715521,287,30.066108484953272,114.75671497219628
NanNing,36734.36155056378,289,32.94342719796569,112.90912223259804
Jieyang,35863.02046135509,280,30.203116310418846,117.47089535209423
Changsha,35671.48324312901,273,29.21517917967742,112.52082486575681
Yokohama City,35520.37198708756,245,35.45596597888889,139.5902268954416
Nanchang,34557.85497037025,278,32.251369885131574,114.78162077236841
Zhongshan,33157.99214110447,253,33.23104981417344,117.98708191707317
Hohhot,31899.276960087096,232,29.284516624698792,115.82721599608435
Baotou,31568.526387070367,218,34.86220803300912,114.71745546018236
Maoming,31047.816144491902,187,25.736764650872725,113.12282750836364
Jilin,29010.150589109508,219,27.467837997648903,113.4075590106583
