city,total_margin,orders_count,lat,lon
New York,139088.02151720595,1006,40.73415257508713,-73.91937941732574
Los Angeles,70281.43342785595,520,34.09752660547838,-118.36058228519003
Houston,67898.66222618082,481,29.803810254194488,-95.45892241687953
Chicago,39687.22178069295,320,41.8606247856531,-87.68303334747323
Las Vegas,38796.52032598048,291,36.14563305672457,-115.15701249205956
San Antonio,27657.842343611108,214,29.480353031792113,-98.52539535297491
San Diego,25793.948720295248,182,32.81936393929368,-117.14060758401486
Phoenix,24679.00065066466,178,33.49619192767176,-112.09070890458017
Philadelphia,22040.38635263978,170,40.01263767679688,-75.13958440898438
Columbus,21164.550682216424,149,38.91379187881818,-84.35510239199999
Dallas,18728.295817720264,168,32.956790035333334,-95.1494283164
Charlotte,17910.70026104763,121,35.23170542618279,-80.80403430010753
Austin,16965.91173495951,130,30.740133427434554,-97.59336042617801
Fort Worth,16521.59270177282,109,32.78594745241177,-97.34425529535294
San Jose,15798.614765407247,129,37.30424222141362,-121.83925622931936
Louisville,15043.003652245492,106,38.27057518201258,-86.65510786786163
Indianapolis,14863.284420878981,127,39.78341753649425,-86.12331789971265
Riverside,13856.430411784348,85,34.107083729925925,-116.69845935962964
Albuquerque,13431.835983117277,83,35.117917539919354,-106.66311988225806
Raleigh,13193.579415391889,96,35.816897064246575,-78.63140674575342
Columbia,12613.24253027316,95,36.554806268068965,-83.08499347103448
El Paso,12359.329675711277,88,31.818236192436974,-106.42773348739496
Memphis,12208.385533162505,73,35.12516373463637,-89.91735423863636
Tucson,11954.538771768273,77,32.21182248269565,-110.95920308869566
Jacksonville,11732.638249550893,101,30.70517740105263,-82.1547350563158
Roseville,11152.240845314236,52,40.39036719733333,-108.26777379
San Francisco,11087.450508738606,87,37.76387286091666,-122.43891171166666
Fresno,10798.368559837887,69,36.627621799591836,-119.29380469061225
Nashville,10427.859493093285,67,36.12157286126214,-86.76809437475728
Long Beach,10241.536748865516,72,34.46390213734513,-113.83341741734515
Arlington,10193.905708795548,85,34.75303864464,-91.29652840624
Aurora,10178.2173001985,69,40.253834596,-100.1660859174
Bakersfield,10022.126414294225,79,35.35590370898149,-118.98745238333333
Boston,9822.801359975107,72,43.5844935734,-62.56234331536919
Lakewood,9786.872288535022,53,39.63730969345679,-98.03560531765433
Colorado Springs,9684.098377504431,75,38.865808672586205,-104.77251081379309
Durham,9299.803044591717,64,37.50461937111111,-78.9867200729697
Seattle,9197.37844004932,62,47.626825553483144,-122.30576908314607
Virginia Beach,9112.008806091395,62,36.838871126781605,-76.10550004551725
Detroit,9082.90377982878,53,42.388740824358976,-83.16516214333333
Orlando,8698.59109113714,52,28.514446348314607,-81.38144415606742
Milwaukee,8675.962307696573,72,43.056245928900005,-87.95816771060001
Mesa,8646.480674325674,72,33.41187319409524,-111.76191727999999
Gainesville,8229.898210134279,52,33.745058415802475,-83.22809666728395
Honolulu,8122.466826591031,58,21.308885186419754,-157.81275355061726
Stockton,7963.745200054389,60,38.00238195865169,-121.32529237977528
Washington,7911.232309057457,76,38.809112471764706,-80.38661832147058
Toledo,7810.627624708938,47,41.222119269736844,-63.69522266852631
Plano,7753.9587245541825,67,33.89474315608696,-95.93218871347827
Lancaster,7227.102485447303,63,38.42921678593023,-89.9349503339535
Moreno Valley,7144.799424928625,37,33.918555465454546,-117.22009914181818
Woodstock,7123.425456680447,39,35.85339324596491,-85.35512136280703
Denver,7026.5398104210735,56,39.69843039115942,-104.99281508550725
Springfield,6971.871296256304,60,39.29579427341772,-92.81144108481013
Atlanta,6962.012079136609,44,33.76355058859375,-84.4077977521875
Glendale,6952.2622798475595,48,33.729036312058824,-113.60580809999999
Hayward,6951.489082931978,35,37.652232283061224,-122.08107527959183
Portland,6932.793475720609,67,45.12637980461538,-116.08105908659341
Salem,6886.871521788465,47,42.83608497643836,-100.70082443904109
Richmond,6885.882567069808,62,40.73404445533333,-75.24158513808445
Baltimore,6836.79479726342,65,39.314216295824174,-76.62183457076924
Omaha,6790.72663505636,38,41.26677472678572,-96.06269781607143
Fullerton,6770.210111488892,29,35.010754775952385,-110.84213407952382
Carrollton,6626.893182340203,30,33.16136696215686,-93.65948629196079
Temecula,6599.975838288533,47,33.514193227432436,-117.06476939054053
