city,total_margin,orders_count,lat,lon
Sydney,73677.14105985728,550,-33.8551711066033,151.05958885082381
Melbourne,61889.1022810554,466,-36.69963396434462,141.06532080512517
Perth,27755.522690631642,201,-27.799873277167233,110.26680641501024
Brisbane,27606.21553213991,234,-27.49625594346875,153.01262407000002
Adelaide,16771.32590134772,141,-34.933076398388884,138.58598163666667
Gold Coast,6474.317437689878,45,-28.00426719142857,153.38015124142856
Newcastle,4111.331466206397,36,-32.96643956846154,151.68936717115383
Central Coast,2959.0138510612005,20,-33.34621518148148,151.4667328
Canberra,2935.6375736318887,35,-35.328163145,149.08003074318182
Wollongong,2709.5495744966283,25,-34.429419975,150.86255654375
Kulnura,2617.993119493268,10,-33.31882435,151.2139917
Toowoomba,2434.5766281819224,14,-27.5738151,151.8784628
Hervey Range,2361.3534503068317,6,-19.43565923,146.5023743
Darwin,2130.332974087979,10,-12.38640697764706,130.8664724764706
Mackay,2098.855174392424,16,-21.1652514,149.1141218
Sunshine Coast,2041.1829365282463,14,-26.696881895882353,153.08176821764704
Kyeamba,1930.334162302602,10,-35.19266368,147.4069504
Geelong,1907.9936470832558,18,-38.1752590952,144.336056608
Truganina,1852.4568314713424,12,-37.82797177,144.6964812
Mitchell Park,1847.3436328674097,3,-37.51598402,143.7965325
Dunk,1784.4539961791597,1,-17.93782729,146.1278681
Jeogla,1752.6840855890698,9,-30.46460034,151.8993515
Ettrema,1664.6642330699267,9,-34.98225551,150.4882483
Cataract,1584.4650908224414,11,-34.22591429,150.8177176
Southern Lamington,1489.184752916889,10,-28.128036660000003,153.2247775
Ashendon,1484.8488444889376,6,-32.16064458,116.17396019999998
Boyne Valley,1462.462893435937,11,-24.12722735,151.1442769
Hanging Rock,1422.668429702602,7,-31.235190159999995,150.9730072
Welsby,1405.4825973912455,11,-26.9845441,153.1333847
Coffs Harbour,1368.8362279619598,8,-30.356247710000005,153.0871497
East Arnhem,1336.6075193300167,7,-12.84223088,133.1747451
Southern Moreton Bay Islands,1334.2855502291814,5,-27.81112206,153.3802311
Cocoroc,1328.1225851726679,16,-37.9133102,144.6296777
Caniambo,1313.4734486598454,10,-36.43716595,145.5375075
