city,total_margin,orders_count,lat,lon
null,170776.59747638053,1250,3.606860357340924,-44.659592805104424
Salvador,98046.5390645879,654,-12.787214760180904,-38.594120140582916
São Paulo,88896.22479667337,627,-23.489482518815645,-46.735888131284916
Brasília,74207.8941235129,530,-15.823234769418605,-47.92020453784238
Manaus,49155.990303325096,385,-3.0645293451360294,-59.975209731838234
São Luís,43595.1435888342,319,-2.5373005005309732,-44.2169350269469
Curitiba,42124.59693527515,335,-25.471017467672958,-49.28717236138365
Fortaleza,39997.742952235596,276,-3.7945265197407405,-38.56144528608797
Rio de Janeiro,36206.86295651052,293,-22.934007952476637,-43.33295361852804
Duque de Caxias,25653.847669344133,192,-22.72554746591216,-43.288726092162165
Uberlândia,20211.299652658647,148,-18.92026099902778,-48.281802472361115
Belém,17198.913916400074,138,-1.950506365717172,-48.532954876313134
Porto Alegre,16006.26864610565,114,-30.039101834695124,-51.18365314109756
Paço do Lumiar,15698.857100876201,118,-2.5115365708342856,-44.13949857885714
Goiânia,15120.090791525197,99,-16.672618178120803,-49.28628707154362
Recife,14644.72987255968,111,-8.093830626282353,-34.89844669905882
Campinas,13942.348586414771,96,-22.9441929105,-47.12230989578572
Montes Claros,13270.91951564537,114,-16.725731003125,-43.854173450125
Belo Horizonte,11972.945555755416,67,-19.918667542164947,-43.93523461824742
Parauapebas,11006.134394238523,99,-6.154942346,-50.48633231
Ananindeua,10608.134054220955,84,-1.3686640697966104,-48.385573197711864
Londrina,9333.29604153452,64,-23.27697034323529,-51.146865182058825
Praia Grande,9253.27916161883,73,-24.036145168999997,-46.500711573
Itaboraí,9014.56911169386,72,-22.73029517,-42.86203835
Limeira,8853.984100158954,75,-22.576628034672897,-47.403265905233646
Barra do Corda,8349.724977324757,45,-5.654105032,-45.25438128
Macapá,8303.35811399862,72,0.049371036503523806,-51.066778452952384
São Gonçalo do Amarante,8226.797236747234,67,-5.217521084093458,-36.3336998164486
Várzea Grande,8086.117513344332,42,-15.654807811311475,-56.11558090032787
São Félix do Xingu,7787.994740087747,54,-7.229393984,-52.25230923
