,category,margin
11,Outerwear & Coats,185429.66020815028
7,Jeans,143972.91298981322
22,Sweaters,105656.12726080399
21,Suits & Sport Coats,99493.44122201369
5,Fashion Hoodies & Sweatshirts,78681.8969048682
23,Swim,78524.26670546936
17,Sleep & Lounge,72022.5324483314
15,Shorts,67077.25181759207
1,Active,64846.08453916252
0,Accessories,63195.13228910175
4,Dresses,59809.1653141262
12,Pants,57104.12157001515
24,Tops & Tees,54223.095361990265
6,Intimates,52440.229654230905
2,Blazers & Jackets,47895.26493137801
10,Maternity,35506.185048179716
25,Underwear,27518.325708547734
13,Pants & Capris,23035.939222275552
14,Plus,20988.068056635064
16,Skirts,16887.151885574614
20,Suits,13037.280271822101
18,Socks,12143.11668526635
19,Socks & Hosiery,9665.15605261563
9,Leggings,8957.139941559646
8,Jumpsuits & Rompers,4462.237841344518
3,Clothing Sets,2018.5575324466186
