city,total_margin,margin_share,cumulative_share
Shanghai,406601.1217185305,0.024133147753862383,0.024133147753862383
Beijing,346746.4264182715,0.020580569739964267,0.044713717493826646
Seoul,242788.97321454348,0.014410344316883579,0.05912406181071022
Shenzhen,222890.40214182678,0.01322929701982021,0.07235335883053043
null,170776.59747638053,0.010136166969682869,0.08248952580021329
Dongguan,159771.16593648941,0.009482957494203192,0.09197248329441648
Tokyo,141797.19316138912,0.008416141596421014,0.1003886248908375
Wuhan,141333.86554215237,0.00838864153974083,0.10877726643057832
Chengdu,140761.82630069263,0.008354689081673802,0.11713195551225213
New York,139088.02151720595,0.008255343123206504,0.12538729863545864
Tianjin,120188.57084675255,0.007133596991348505,0.13252089562680716
Foshan,113103.91457825557,0.006713098750245956,0.1392339943770531
Suzhou,111657.53310095791,0.0066272511319399804,0.1458612455089931
Wenzhou,107035.97712939102,0.00635294619976673,0.15221419170875983
Salvador,98046.5390645879,0.005819392735562892,0.15803358444432272
Busan,93789.97510372866,0.005566751310086717,0.16360033575440944
Handan,91502.13240407957,0.005430960130576769,0.16903129588498622
Zhengzhou,91319.37234641722,0.005420112704833259,0.17445140858981945
Guangzhou,89980.65033540037,0.005340655038910776,0.17979206362873024
São Paulo,88896.22479667337,0.0052762907261820055,0.18506835435491223
London,87946.3104838968,0.005219910108325238,0.19028826446323746
Hangzhou,86778.21031659537,0.0051505794242148505,0.1954388438874523
Nanjing,84929.90559735204,0.005040876306094733,0.20047972019354704
Chongqing,77202.63073185395,0.004582236484159205,0.20506195667770624
Shan Tou,74680.74377892043,0.004432553988950021,0.20949451066665625
Brasília,74207.8941235129,0.0044044887673119655,0.2138989994339682
Sydney,73677.14105985728,0.004372986783126877,0.2182719862170951
Harbin,72709.41119777902,0.004315548752339725,0.22258753496943484
Fuzhou,72655.45635389962,0.004312346350403708,0.22689988131983854
Los Angeles,70281.43342785595,0.004171440083831897,0.23107132140367043
Xi'an,68050.75877717629,0.004039042020815943,0.23511036342448638
Houston,67898.66222618082,0.004030014577599573,0.23914037800208596
Madrid,67680.45154834072,0.0040170630379984815,0.24315744104008444
