category,brand,complete_cnt,returned_cnt,avg_margin,avg_price,purchases,buyout_rate,buyout_smooth,expected_margin,log_purchases,margin_norm,buyout_norm,popularity_norm,boost,actual_score,rating,rating_boosted,price_1,price_2,product_1,product_2
Accessories,NYGiftStop Scarf,2,1,3.5041498709840853,5.823333104451497,2,0.6666666664444444,0.7038385677438932,2.4663558263533867,1.0986122886681096,0.005504502870553697,0.607769472915823,0.1992611746788273,1.0,0.30663698789318833,3.82,3.82,5.489999771118164,5.989999771118164,13678,14326
Accessories,Scarf_tradinginc,10,4,4.116791375777756,6.74571418762207,10,0.7142857142346939,0.7145792241946088,2.941773587474325,2.3978952727983707,0.00713316290787912,0.6315160310799427,0.43491906448076867,1.0,0.3193245969939109,3.89,3.89,2.5,8.989999771118164,13606,13598
Accessories,MyEyeglassCase,3,2,4.225307875493549,6.981999778747559,3,0.59999999988,0.6766600920447075,2.859097215948692,1.3862943611198906,0.007421645625903701,0.5476804777073573,0.2514396076729433,1.0,0.2775510616666305,3.64,3.64,6.989999771118164,6.949999809265137,14000,13797
Accessories,Allegra K,13,4,4.334306416491976,7.03235284019919,13,0.7647058823079584,0.7462926437285412,3.2346609942933764,2.639057329615259,0.007711409813380196,0.7016313508465924,0.4786599139369069,1.1,0.39013851836298497,4.1,4.51,7.179999828338623,7.909999847412108,14336,13930
Accessories,Symphony Designs,5,0,4.535456009221315,7.503999996185303,5,0.9999999998,0.8099934253780408,3.673689548560592,1.791759469228055,0.008246150441690862,0.8424676510746798,0.324980978515299,1.0,0.42535690075818533,4.53,4.53,6.0,6.0,13973,13616
Accessories,106Shades,7,3,4.522886870135284,7.622999763488769,7,0.69999999993,0.7074950690335305,3.1999201584172114,2.0794415416798357,0.008212736357968443,0.6158536455127193,0.37715941150941495,1.0,0.3120331909353439,3.85,3.85,9.899999618530272,5.639999866485596,13947,14192
Accessories,Pashminas4u,4,0,4.641702417731182,7.979999840259552,4,0.99999999975,0.796421527190758,3.6967517282945015,1.6094379124341003,0.008528598297892914,0.8124614897957435,0.2919123446116315,1.0,0.4104950440468182,4.44,4.44,6.989999771118164,14.989999771118164,14140,13617
Accessories,Angelina,6,1,4.7148898757191215,8.132856913975306,6,0.8571428570204082,0.773523610627683,3.6470786403781625,1.9459101490553132,0.008723161492070454,0.761836399048521,0.35294011010043513,1.0,0.3852797802702957,4.29,4.29,6.989999771118164,5.989999771118164,13719,13665
Accessories,Funny Girl Designs,3,4,5.045915648127794,8.27999986921038,3,0.4285714285102041,0.5970530223923889,3.012679188451749,1.3862943611198906,0.009603167894882416,0.37167690488588806,0.2514396076729433,1.0,0.19064003639038524,3.12,3.12,9.0,6.989999771118164,13726,13844
Accessories,MG,4,2,5.084849929252887,8.5633331934611,4,0.6666666665555555,0.6968688362919132,3.543473452917477,1.6094379124341003,0.009706671668711432,0.5923600671618842,0.2919123446116315,1.0,0.3010333694152978,3.78,3.78,6.25,5.949999809265137,13842,13928
Accessories,Greatlookz,8,1,4.862181057576802,8.63666656282213,8,0.8888888887901234,0.7973632305616111,3.876924395644909,2.1972245773362196,0.009114723702376178,0.8145435053570754,0.3985223493576547,1.0,0.4118291145297258,4.44,4.44,12.949999809265137,11.949999809265137,13648,13822
Accessories,Private Island,12,4,5.246815541374776,9.024374842643738,12,0.749999999953125,0.7365346684873313,3.864461545380648,2.5649493574615367,0.010137244716439744,0.6800574063030079,0.4652185554733866,1.1,0.3796070580606962,4.04,4.444000000000001,9.989999771118164,6.0,14102,13601
Accessories,Kalon,2,2,5.384624868068844,9.239999771118164,2,0.499999999875,0.6535643843336151,3.5191990367668873,1.0986122886681096,0.010503600148452046,0.4966180897593263,0.1992611746788273,1.0,0.2535608449538892,3.49,3.49,6.989999771118164,9.989999771118164,13722,13729
Accessories,DG Eyewear,21,5,5.7088423178992915,9.262692304757925,21,0.8076923076612426,0.7819417050186281,4.463981895740669,3.091042453358316,0.011365507152484114,0.7804479959283661,0.5606388683172403,1.1,0.4354974266944676,4.34,4.774,5.550000190734863,7.980000019073486,14197,13612
Accessories,Tapp Collections,4,5,5.802854369746464,9.92111094792684,4,0.4444444443950617,0.5868369147721374,3.4053291552140306,1.6094379124341003,0.01161543091813238,0.3490900737244608,0.2919123446116315,1.0,0.1803527523212966,3.05,3.05,7.849999904632568,10.989999771118164,13602,13633
Accessories,AN1225,4,0,5.887914884134233,9.96999979019165,4,0.99999999975,0.796421527190758,4.689262163991381,1.6094379124341003,0.011841557714070505,0.8124614897957435,0.2919123446116315,1.0,0.412151523754907,4.44,4.44,9.949999809265137,9.989999771118164,13658,14111
Accessories,Sunny Belt,4,1,5.824474170104437,9.970000267028809,4,0.79999999984,0.7433267587113741,4.329487506061851,1.6094379124341003,0.011672905484550865,0.6950740643910185,0.2919123446116315,1.0,0.3533734849377847,4.09,4.09,9.970000267028809,9.970000267028809,14101,14288
Accessories,Bag Girls,1,3,6.305202386683332,9.979999780654907,1,0.2499999999375,0.5821358129050437,3.670484116902723,0.6931471805599453,0.012950884251954899,0.3386963897411178,0.12571980383647166,1.0,0.17582363699653636,3.02,3.02,9.949999809265137,9.989999771118164,14283,13886
Accessories,TrendsBlue,34,13,6.149112245587864,10.147872163894329,34,0.7234042553037574,0.7219280943977301,4.439216885694994,3.5553480614894135,0.012535930689335449,0.6477636761396036,0.6448524547120666,1.1,0.36316478375591654,3.94,4.3340000000000005,13.93000030517578,9.989999771118164,13655,13713
Accessories,Red Blossom,2,2,6.712424905402399,10.949999809265137,2,0.499999999875,0.6535643843336151,4.3870018506849435,1.0986122886681096,0.014033453809105803,0.4966180897593263,0.1992611746788273,1.0,0.25532577178421606,3.49,3.49,11.949999809265137,9.949999809265137,13990,13688
Accessories,TopTie,5,2,6.133339883700396,11.132856913975306,5,0.7142857141836735,0.7147000812159183,4.383498513005504,1.791759469228055,0.012494001085644942,0.6317832343276434,0.324980978515299,1.0,0.32213861770664415,3.9,3.9,14.989999771118164,5.989999771118164,13667,13988
Accessories,Croakies,6,5,6.981513570397533,11.25181805003773,6,0.5454545454049586,0.6261857800319339,4.371724520882911,1.9459101490553132,0.014748805204245808,0.43608662946306376,0.35294011010043513,1.0,0.2254177173336548,3.31,3.31,25.0,8.9399995803833,13673,14324
Accessories,Scala,4,0,6.876179884679316,11.489999771118164,4,0.99999999975,0.796421527190758,5.476337684994671,1.6094379124341003,0.01446878375096338,0.8124614897957435,0.2919123446116315,1.0,0.41346513677335345,4.44,4.44,7.989999771118163,21.989999771118164,14022,13721
Accessories,Alki'i,5,1,7.017256542568256,11.65666643778483,5,0.8333333331944445,0.7593688362919132,5.328685934691871,1.791759469228055,0.014843825130147328,0.7305415546778167,0.324980978515299,1.0,0.372692689903982,4.19,4.19,9.989999771118164,9.989999771118164,13646,13790
Accessories,Peach Couture,1,2,6.707333328594764,11.693333307902018,1,0.3333333332222222,0.6269154908208162,4.204931165794806,0.6931471805599453,0.014019918246123728,0.4376999498192906,0.12571980383647166,1.0,0.22585993403270718,3.31,3.31,11.539999961853027,12.0,14130,14265
Accessories,G&G,5,0,6.951963959567308,12.195999908447266,5,0.9999999998,0.8099934253780408,5.631045100714611,1.791759469228055,0.01467024985025634,0.8424676510746798,0.324980978515299,1.0,0.42856895046246807,4.53,4.53,7.0,19.989999771118164,13969,14303
Accessories,boxed-gifts,22,3,7.508581977187722,12.270799932479859,22,0.8799999999648,0.8328543251620175,6.253554975534367,3.1354942159291497,0.016149975781751917,0.8930109012843209,0.5687013217576137,1.1,0.5000384823863401,4.68,5.148,6.989999771118164,14.989999771118164,13789,14245
Accessories,Go Gloves,2,3,7.917569899216218,12.749999809265137,2,0.39999999992,0.6099934253780408,4.82966558349297,1.0986122886681096,0.017237238527002766,0.400286891023696,0.1992611746788273,1.0,0.2087620647753494,3.2,3.2,15.949999809265137,7.949999809265136,13856,14023
Accessories,Modadorn,5,1,7.698739892287403,12.989999771118164,5,0.8333333331944445,0.7593688362919132,5.846183152920414,1.791759469228055,0.01665549588556577,0.7305415546778167,0.324980978515299,1.0,0.37359852528169124,4.19,4.19,12.989999771118164,12.989999771118164,13860,14189
Accessories,American Apparel,9,4,8.299384630356844,13.846153846153847,9,0.6923076922544379,0.7021696252465484,5.827575795674629,2.302585092994046,0.01825226344680528,0.6040796016060364,0.41763214844810326,1.0,0.31116593252642083,3.81,3.81,12.0,14.0,13918,14282
Accessories,FoxRiver,7,0,8.333121664006743,13.950000354221888,7,0.9999999998571428,0.8323471400394478,6.936049984636776,2.0794415416798357,0.01834195074035879,0.8918895637693987,0.37715941150941495,1.0,0.45511575725487874,4.68,4.68,13.3100004196167,15.550000190734863,13663,13832
Accessories,Scarfand,7,1,8.512625034200028,14.375,7,0.874999999890625,0.7861056322594784,6.691822484697677,2.0794415416798357,0.018819146560934957,0.789654038489147,0.37715941150941495,1.0,0.40423659252504096,4.37,4.37,15.0,14.0,14277,14276
Accessories,SK Hat shop,9,6,8.937850226132076,14.483333651224772,9,0.59999999996,0.6459960552268246,5.773815988289503,2.302585092994046,0.01994957483186479,0.47988524217554324,0.41763214844810326,1.0,0.249917408503704,3.44,3.44,4.949999809265137,14.949999809265137,13780,14131
Accessories,Gem Avenue,2,2,8.348549972167984,14.559999942779541,2,0.499999999875,0.6535643843336151,5.456314922638388,1.0986122886681096,0.018382965703839297,0.4966180897593263,0.1992611746788273,1.0,0.25750052773158283,3.49,3.49,19.989999771118164,12.75,13738,13904
Accessories,Coloriffics,5,1,8.7849765823803,14.603333155314127,5,0.8333333331944445,0.7593688362919132,6.671037444213837,1.791759469228055,0.019543172078556895,0.7305415546778167,0.324980978515299,1.0,0.3750423633781868,4.19,4.19,16.989999771118164,2.6700000762939453,14331,13690
Accessories,H2W,3,3,8.945240299682668,14.62333377202352,3,0.49999999991666666,0.6343688362919132,5.674581679261219,1.3862943611198906,0.01996922077059171,0.45417857964595176,0.2514396076729433,1.0,0.23707390020827174,3.36,3.36,38.970001220703125,3.400000095367432,13782,13943
Accessories,Buxton,8,3,9.24292451076793,14.96545444835316,8,0.7272727272066115,0.7214238752700292,6.668066419386538,2.1972245773362196,0.02076059121243044,0.6466488961540084,0.3985223493576547,1.0,0.33370474368321945,3.94,3.94,12.989999771118164,14.989999771118164,13871,13910
Accessories,HOT,1,3,9.16638488271065,14.989999771118164,1,0.2499999999375,0.5821358129050437,5.336080915097268,0.6931471805599453,0.020557116533497895,0.3386963897411178,0.12571980383647166,1.0,0.17962675313730786,3.02,3.02,14.989999771118164,14.989999771118164,13995,14218
Accessories,Luxury Divas,23,11,9.2990193299334,15.381470413768993,23,0.676470588215398,0.6852250313788776,6.371920812146403,3.1780538303479458,0.020909714948842268,0.5666167346302269,0.5764205861882423,1.1,0.3231395472684881,3.7,4.07,8.0,6.289999961853027,13768,13769
